Size;2;4;6;8;NonParallel
100;4370944;1712815;2530937;2325854;3345123
200;10602024;5506377;7759844;7776970;15618673
300;24016614;13613351;17180251;15420683;39259460
400;42269146;22936189;29471685;25318631;69448845
500;64470705;35236340;45405323;37972543;107663545
600;101734972;56470438;69611791;64452769;170605044
700;138204087;82358603;86578899;85281182;233676686
800;180100902;105274512;102682254;104575791;303756098
900;227552320;129232416;136451108;132694553;389185156
1000;282442316;166749445;162272478;163284877;477772819
