Size;2;4;6;8;NonParallel
101;2857625;1622257;2938607;2514622;3577121
201;10616133;5925311;8578170;8035874;15890971
301;25436636;14236155;18511799;15678003;40031469
401;44256623;25755756;31545421;26279056;71417156
501;68997243;38087065;48514126;39713556;111436166
601;109690871;60416734;73334372;67490652;177868631
701;146843917;85502036;92593251;88600072;241029004
801;193502841;109445844;114245438;113225832;314659781
901;242437841;136339359;143922119;139687196;399413056
1001;298614993;168754709;175676203;169479302;491501628
