Alpha;Rho;tMax;MinPath
0;0;100;16
0;0;200;16
0;0.25;100;18
0;0.25;200;16
0;0.5;100;16
0;0.5;200;16
0;0.75;100;16
0;0.75;200;16
0;1;100;16
0;1;200;16
0.25;0;100;16
0.25;0;200;16
0.25;0.25;100;16
0.25;0.25;200;16
0.25;0.5;100;19
0.25;0.5;200;16
0.25;0.75;100;16
0.25;0.75;200;16
0.25;1;100;14
0.25;1;200;12
0.5;0;100;16
0.5;0;200;18
0.5;0.25;100;16
0.5;0.25;200;16
0.5;0.5;100;16
0.5;0.5;200;16
0.5;0.75;100;16
0.5;0.75;200;16
0.5;1;100;15
0.5;1;200;13
0.75;0;100;22
0.75;0;200;16
0.75;0.25;100;21
0.75;0.25;200;16
0.75;0.5;100;18
0.75;0.5;200;16
0.75;0.75;100;16
0.75;0.75;200;16
0.75;1;100;18
0.75;1;200;15
1;0;100;22
1;0;200;23
1;0.25;100;20
1;0.25;200;25
1;0.5;100;27
1;0.5;200;22
1;0.75;100;24
1;0.75;200;18
1;1;100;22
1;1;200;21
